,Id,Tweet
0,11237,no se a quien le vale mas verga el equipo de las chivas a mi o a ese cabron de alexis jajaja
1,11238,otro chocolate de patrick sandoval que hoy se parece al mismisimo wily wonka clasicomundial2023
2,11239,mejor habla de tus chivas
3,11240,las chivas no dejarn de ser un equipo fracasado mientras su aficin siga justificando todas sus derrotas representan al tpico wey que cuando le va mal siempre hay un culpable menos l
4,11241,lo que muchos pensamos muy fcil se sacan tarjetas aqu en mxico se sacan tarjetas por nada es ftbol es emotivo todo el mundo est afectado no se pueden sacar tarjetas as veljko paunovi tras la decisin de marco antonio ortiz de expulsar a vctor guzmn
5,11242,dos cosas que pasan en el clasiconacional amrica chivas 1 siempre aparece un hocicon que lo tienen en un atad y lo reviven das antes al juego 2 pasando el juego inmediato se desaparece humillado y aporreado regresa a su atad bofo 100
6,11243,a ver si aprenden bola de pendejos chivas
7,11244,excelente chivas amauryvz estn haciendo justo las cosas que tu pap jams hubiera querido bien vega con eso vas a recuperarte al cien en unas semanas ms
8,11245,yo cre que no andaban en el puto instagram por vergenza pero al parecer es por que andan en la peda chivas
9,11246,entonces ya les dijiste que su referente el pocho se hizo expulsar para no jugar vs el equipo de sus amores jajajaja estn bien empinados chivas
10,11247,por burlarse de chivas en festejo henry martn pagara una multa millonaria
11,11248,ay ay ay a los de chivas lo vamo a garrar ay ay ah a lo de chiva lo vamo a garrar pinche chiva vigilante si corres en todas partes tus amigos en patrulla y tu son hijos de put4 ay ay ay hoy vinieron con la federal ay ah ay hoy vinieron con la federal
12,11249,exactamente pero como se orinaron literal en las chivas estn mamando ahora la beben o la derraman pinches chillones
13,11250,sabes que chivas es el equipo ms mimado de mxico cuando la prensa se dedica a criticar a henry por su festejo que criticar la actitud de los jugadores de achicas en un clsico chivas es el responsable de que el ftbol mexicano y medios sean mediocres en est pas
14,11251,ojal pauno ante atlaz inicie cubriendo a quiones no lo haga en zona sino que ponga marca a l que ha sido el mejor de ellos ante pumas olimpia y puebla lo viene confirmando chivas debe aprender de los errores en marca del ltimo juego y saber defender para generar
15,11252,carnaaal te sigues burlando por que le ganaron a l chivas y pero a ti te ganaron a tu morra jajajaa buzo compa
16,11253,mejores defensivas 8 len 9 mty 9 tigres 12 toluca 13 cruz azul 13 chivas 15 san luis 16 amrica 16 atlas 16 necaxa 16 tuzos 17 quertaro 17 xolos 18 jurez 24 pumas 26 puebla 27 santos 28 mazatln
17,11254,eso es todo pompeyo4cr enhorabuena somosdistintos
18,11255,jonathan rodrguez fue elegido por la aficin azulcrema como el mejor jugador contra chivas clubamerica somosamerica siempreaguilas
19,11256,es la poderosa t tambin puedes verte as de increble y distinto desata tu glitch y adquiere la tuya
20,11257,henry martin y su vulgar festejo en el chivas vs amrica que escandaliza a los falsos puritanos de la tv estas chivas no hicieron nada porque les faltan huevos las anteriores hubieran echo una campal hoy en la mx puro deshuevado
21,11258,duelo de arqueros en sus ltimos 5 partidos ochoa juventus monza sampdoria miln y bolonia 6 goles recibidos acevedo len tijuana chivas puebla y toluca 15 goles recibidos ftbolmedia mexico
22,11259,worldbaseballclassic lacasadelbeisbol mxico
23,11260,gan el bara ganaron los rayados perdieron las chivas jajajajaja el contraste machn que tuvimos
24,11261,video miguel gurwitz los aficionados de chivas no solo se pueden fijar en la burla de henry marti n
25,11262,que intenso vamos
26,11263,con el dineral que roba en chivas la tristeza es lo que menos tiene alexis vega9 ja ja ja junto con la vergenza
27,11264,henry martin se cago en chivas dentro y fuera del campo mi padre
28,11265,el recado de leo surez a chivas luego de ganar el clsico nacional
29,11266,as se marcha chivas sin palabras
30,11267,toma chocolate y paga lo que debes
31,11268,worldbaseballclassic mxico ricardobsalinas
32,11269,al conjunto rojiblanco no le gust que el delantero emulara los festejos de cuauhtmoc blanco en la victoria de amrica sobre chivas
33,11270,worldbaseballclassic mxico imagen tv
34,11271,y tras perder el clsico nacional las chivas se preparan para viajar a estados unidos en la fecha fifa jugarn ante pachuca y toluca duelos amistosos
35,11272,el clsico tuvo seis goles pero fue un somnfero de los god lacascara ligamx chivas america monterrey tigres clasiconacional clasicoregio
36,11273,sabes algo del chino huerta si el que se quejaba que en chivas no tenia oportunidades
37,11274,unas bien chivas bien muertas alexis vega fue captado en una reunin despus del clsico que vergonzosamente chivas perdi el amrica ya decir algo est de ms que opinan chivas
38,11275,las chivas de omar bravo ramn ramirez oswaldo sanchez hector reynoso no lloraban cuando las haca cuau de verdad que se les pego la debilidad actual
39,11276,no fue mida chivas nmms es lechita de aguila cfamerica tmala clasiconacional espn foxsports futpicante lup
40,11277,diri operador mvil virtual se asoci con el club de ftbol monterrey y chivas de guadalajara para ofrecer un plan de telefona e internet
41,11278,osea gan amrica a las chivas y luego que sigue que se topen a santos pachuca o toluca en liguilla pa que los manden a la verga jajajajja como siempre as que ni se emocionen aymispendejos
42,11279,worldbaseballclassic mxico
43,11280,mxico
44,11281,se esperaba un clsico nacional ms parejo pero fue una gran diferencia amrica se adue por completo del juego contra chivas que fue decepcionante afectar la pausa de la fecha fifa a algunos equipos de la liga mx el anlisis de yayodelatorrem centralfox
45,11282,calienta el vdeo del 10 de chivas mi gente
46,11283,listo el rebao tour debido al parn de la liga chivas ya tiene listos 2 amistosos para mantener ritmo vs pachuca mircoles 22 de marzo san jos california paypal stadium vs toluca sbado 25 de marzo los ngeles california dignity health sports park
47,11284,es fair play o no el festejo de henry martin ms humillante para las chivas estn de acuerdo con faitelson espn herculezg y mauriciopedroza
48,11285,puro fracaso de las chivas
49,11286,ral pnches fachs hipcritas tmenla
50,11287,los aficionados de chivas en estados unidos tendrn otra oportunidad de ver al rebao esta semana el guadalajara se va hoy a california jugar 22 de marzo vs pachuca en san jos y el 25 vs toluca en carson
51,11288,las chivas ya fueron a llorar con la liga mx para que castiguen a henry martn por su festejo pero no fuera pizarro diciendo que chingue su puta bomba y negra madre el amrica ponce picndole los ojos a henry o guzmn dicindole cagn al rbitro porque hasta lo celebran
52,11289,quin decepcion ms en su respectivo clsico chivas o tigres ms decepcionante es tigres me decepcion el helado pecho de los jugadores del guadalajara imperdibles palabras de faitelson espn herculezg y mauriciopedroza
53,11290,tengo unos compas que le van al madrid y le van a las chivas y le van a mxico beisbol imagnate que pierdan sematan japan
54,11291,concuerdo chivas no mereces tu aficin
55,11292,cuando uno como aficionado mira este tipo de notas da coraje y tristeza porque es evidente q sigue adelante la destruccin de este club tan grande chivas de guadalajara an sin estar el esquirol miserable de ricardo pelaez sigue actuando desde fuera y x
56,11293,alexis venga festejando la victoria del equipo en el que quiere jugar vs las chivas
57,11294,las consecuencias del clsico mientras que para clubamerica su victoria lo catapult hasta el subliderato de la ligabbvamx para chivas la derrota represent salir del top 4 y caer hasta la 7ma posicin lograrn los 2 clasificar de manera directa a cuartos de final
58,11295,las vctimas del accidente del helicptero del ejrcito que se desplom cuando volaba sobre quibd qepd
59,11296,ya viene el recital de la novena mexicana que se prepare ohtani sasaki y todos los dems ojos de rendija que les vamos a dar para llevar viva cabrones worldbaseballclassic clasicomundialdebeisbol lacasadelbeisbol
60,11297,chal perdieron mis chivas y el real madrid pero mi comandante se mando un golazo de tiro libre no todo estuvo tan mal siiiiuuuuuuuu
61,11298,randy arozarena viendo cmo sigues hablando de las chivas cuando ya falta menos de media hora para que mxico juegue la semifinal del clsico mundial de bisbol contra japn
62,11299,que la mamen los chivas
63,11300,lo que viene en fecha fifa para chivas
64,11301,hasta ahorita estoy viendo el partido de chivas vs rayadas y debo decir que el arbitraje estuvo otra vez horrible entre errores y compensaciones se ensuci el juego
65,11302,maldito falla locas lrgate de chivas carloscb 24
66,11303,con plantel completo y en silencio chivas parti a los estados unidos donde se medirn a pachuca y toluca en amistosos brizuela est de vuelta y podr tener minutos
67,11304,en mi opinin rafa puente se quem por agarrar a un equipo perdedor sin dinero con jugadores sin identidad y la burla de mxico le hubiera ido mejor en otro equipo chico pero agarrar a pumas o chivas es quemarse
68,11305,chivas se aleja de la clasificacin directa la polmica deportiva est en silbatazoinicil spotify itunes google podcast
69,11306,no est para competirle al amrica chivas se sinti inferior no te pierdas   lo puedes ver x espn y en star plus
70,11307,rayadas y chivas tuvieron oportunidades de hacer dao pero se neutralizaron y firmaron la igualada
71,11308,espero que amauryvz y chivas corroboren los hechos s esto fue posterior al clsico nacional que no se trate de una descontextualizacin de lo contrario que de haga lo pertinente
72,11309,amrica salt al segundo lugar con 6 victorias 5 empates 1 derrota y 23 puntos y chivas baj al quinto con 21 unidades
73,11310,luego del triunfo del clubamerica en el clsico nacional ante chivas al ganar 2 4 hubo un momento del partido cuando henrymartinm festej al anotar un gol y fue a la portera rival e hizo el gesto de un perrito orinando podra ser sancionado con una multa de 155 mil pesos
74,11311,los repor fan de las chivas borgetti58 victor deportes ramosrizo laloeluna
75,11312,amrica repaso en el clsico a unas chivas que no pudieron con las aguilas bueno hasta tuvieron que ser ayudadas con un autogol de lara al 62 un marcador de 4 2 odisead aguilasmonu america vamosame1916
76,11313,la directiva de chivas est investigando a una promesa goleadora por presuntos actos de indisciplina almomento elunicodelsureste informacinparati
77,11314,se va chivas el rebao sagrado parte a estados unidos donde encarar los amistosos ante pachuca y toluca el mircoles y sbado
78,11315,henry martin y su vulgar festejo en el chivas vs amrica que escandaliza a los falsos puritanos de la tv
