,Id,Tweet
0,79723,yo quiero escuchar el himno al trenecito
1,79724,noms eso faltaba un himno a un aeropuerto que nos cost un dineral y que mes tras mes nos hace perder millones de pesos
2,79725,el himno del aifa es el himno con mayor aprobacin del mundo
3,79726,vengo llegando de reunin de apoderados y recib una excelente noticia el colegio de mi hija instaur nuevamente el cantar el himno nacional todos los lunes a las 8 de la maana
4,79727,himno nacional de colombia letra y msica suscribete a mi canal a travs de youtube
5,79728,factor kk haciendo coraje por que el aifaaero tiene himno el ridiculo tiene un programa con paleros que ni su madre ve y ah no le da pena salir a decir pndejadas en atypicatv buen chico max te toca sobre
6,79729,este wey escuchando el himno del aifa me representa
7,79730,imposible no querer salir a bombardear pases tercermundista para robarles sus recursos despus de escuchar este himno
8,79731,an no puedo decidir si este es el peor himno jams escrito o el de ixtapaluca
9,79732,aeropuerto civil pero manejado por militares entonces es civil o militar si es civil porque tiene un himno al mero estilo comunista porque no fue la llorona de palacio si era su orgullo de obra esto cada vez se pone peor morenadestruyendoamexico
10,79733,la chingadera tiene himno repito la chingadera tiene himno
11,79734,a ver amiguitos ya todos sabemos que esos pendejos le hicieron un himno al aifaaero y est muy bien burlarse de lo cutre del hecho pero por favor no anden comentando sobre el video porque lo difunden y convierten su cuenta en caja de resonancia de lpez capisci
12,79735,lpm nunca vi como cantaron el himno pq me estaba bajando la presin
13,79736,por qu se burlan de himno del areopuerto honestamente qu esperaban de algo que est situado en un estado que en su himno dice que es una prepotente existencia moral
14,79737,y el himno al aeropuerto estar disponible en spotify
15,79738,una lstima que cante el himno y no alguna cancin de protesta o es segun el partido poltico el tema
16,79739,cada minuto que pasa mi alma oscurece un poco ms al saber que no voy a presenciar a lali cantando el himno y a messi levantando la tercera
17,79740,lo que yo necesitaba para volar por el chaifa un himno
18,79741,el aicm mx benito jurez lleva ms de un ao funcionando y no tiene himno
19,79742,ya me veo llorando escuchando a wos y si lali llega a cantar el himno y yo me desmaio
20,79743,la gente que llora porque es papi arca que siga llorando yo escuchare maana un himno
21,79744,ni himno ni show y ahora ni obra de teatro da tranqui en el fandom
22,79745,pelcula de la scaloneta cumbia himno seores esto es cine
23,79746,la demagogia y la estupidez de este gobierno se imaginan hacerle himno a cada obra pblica como escuelas carreteras y hospitales que cada gobierno inaugura a travs de los aos
24,79747,no hay vuelos pero que tal himno yo ya sufr oyendo semejante atrocidad les toca a ustedes alv chaifa
25,79748,me dio risa y pena ajena pobre gente que trabaja ah tener que aprenderse un himno de un aeromuerto que cringe
26,79749,el aifa queriendo hacer competencia al himno del sitatyr
27,79750,quien cantara el himno el jueves
28,79751,como no voy a sacar el pecho por mi pas y pecar de soberbia y altanera si nuestro himno comienza con oid mortales wacho a muchos todava les pesa el arjintina a ellos solo les digo chupenla
29,79752,otros 40 tuits con el video del himno al aifa y ya entendido pinches bembos
30,79753,no nos extraara que le hagan un himno a lpez si hasta al chaifa le hicieron uno y ya ven que al inquilino no le gusta el himno del pas nunca lo canta
31,79754,ariel ardit cantar el himno nac arg en el partido de la seleccin en river
32,79755,escuchen el himno nacional misijo
33,79756,el nico q vale la pena de todos los citados para cantar y lali en el himno obvio
34,79757,he cometido muchas pendejadas en mi vida pero jams una tan grande como hacer un himno a un aeropuerto
35,79758,a un ao de la inauguracin del aifa puede que no tenga vuelos lo que si tiene es un himno s un himno miren que animados lo entonan todos los participantes al evento
36,79759,ay no el aifa ya tiene himno
37,79760,creo que tiene mas vuelos que el aifa y eso que an no tiene himno pero para eso tenemos la marcha zacatecas
38,79761,seguro que a orwell ni enpeyotado jamas se le hubiera ocurrido que los cerdos le compusieran un himno al molino de viento
