,Id,Tweet
0,18692,revelan mal comportamiento de max verstappen durante todo el gran premio de arabia saudita
1,18693,aunque sergio checo prez gan el gp de arabia saudita no todos estuvieron conformes con ello empezando por su coequipero max verstappen nms17 con elizabeth cano y alejandrogodi01 unmundocompartido sguelo por
2,18694,s felicit a checo la carita viral del pap de max jos verstappen le dio la vuelta a las redes aunque apareci una grabacin sin cortes donde se muestra la interaccin con sergio prez f1xfsmx
3,18695,yo lo siento pero este ao es difcil ponerle buena nota a verstappen porque el red bull es una bala aun hacindolo fatal podra ganar como hamilton en su momento
4,18696,comienza la guerra en red bull max verstappen no acepta estar por detrs de checo prez
5,18697,son el himno nacional mexicano en arabia saud sergio checo prez consigui la victoria en el gran premio de arabia saud el mexicano obtuvo el primer podio mientras que su compaero de rb max verstappen qued segundo y fernando alonso tercero saudiarabiangp
6,18698,algunas estadsticas en la corta historia del gparabiasaudita en el circuito de jeddah f1 formula1 pole vueltas rpidas podiums top5 top10 puntos histricos verstappen hamilton perez mejisports mejiestadisticas elmeji
7,18699,jos verstappen es un psicpata por suerte el hijo todava tiene humanidad
8,18700,revelan mal comportamiento de max verstappen durante todo el gran premio de arabia saudita
9,18701,jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
10,18702,no aguant mas pap verstappen tuvo que hablar a mercedes ya se va youtube
11,18703,no veo f1 pero tanto que veo a verstappen en todos lados ya me cay gordo jajaja
12,18704,rosberg y hamilton me hacen acordar a senna y prost si verstappen y perez van a ser o intentar ser as ojal sea una gran rivalidad porque ambos traen bronca
13,18705,qu vergenza la actitud de verstappen y la del tata ni digamos
14,18706,para favorecer a verstappen eso era todo de ah pudo llegar al segundo por fortuna no logro superar a checo y as se pudo disfrutar la arrechera del padre y el malcriado y peligroso piloto
15,18707,checo prez encar a verstappen tras desobedecer las ordenes de red bull sigue sin entender
16,18708,yo camino a contarle a mi novia algo que se supone no debera contarle a nadie
17,18709,tierra trgame la cara del padre de verstappen en la celebracin de prez f1 spanishgp formula1 mundo deportivo
18,18710,inicia la guerra checo prez vs verstappen por el campeonato resumen via youtube
19,18711,los verstappen contra checo prez la mam de max lo ha llamado infiel su pap lo ha minimizado y mad max no ha sido el mejor compaero en red bull
20,18712,hasta parece que verstappen es el mexicano por sus actitudes
21,18713,no como el pap de verstappen bien ogt el don
22,18714,estaba viendo cosas de la formula 1 hoy en tumblr y de alguna manera termin leyendo un fanfic cortito de max verstappen y rayita jajajajajajajajajaja
23,18715,frmula 1 la tensa charla entre checo prez y max verstappen que mantiene en alerta a red bull
24,18716,todo es culpa de jos verstappen
25,18717,verstappen es un mal perdedor todo lo bueno q es lo empaa eso
26,18718,sin checo perz max verstappen jams hubiera sido campen del mundo ahora es el turno de checo prximo campen del mundo en f1 a darlo todo por
27,18719,es cosa ma o si dura 20 vueltas ms fernando alonso llega a verstappen fijaos a partir de la vuelta 45
28,18720,pues para m por mucho que seas hamilton alonso o verstappen me parece una guarrada de mucho cuidado es deporte y tiene que haber juego limpio y dejar espacio al rival es parte del juego
29,18721,la vida va como verstappen en frmula 1
30,18722,como este carajo no fue campen existe verstappen
31,18723,la pola ms top que existe con las papamugre ms deliciosas
32,18724,pap de verstappen s felicit a checo prez en el gran premio de arabia saudita
33,18725,sergio prez vence em jeddah mas max verstappen segue lder do campeonato
34,18726,pues a m s me gustara ver a schecoperez en ferrari el otro ao tras ganar el campeonato f1 checoprez te odio verstappen
35,18727,otro buen dato ste de mi amigo salimgol checo ya iba para el hat trick pole triunfo y vuelta rpida pero en esas condiciones verstappen hubiera sufrido la primera gran humillacin de su carrera y sacrific ritmo para sacar la vuelta rpida a como diera lugar no slo fue
36,18728,helmut marko justifica que verstappen le robara la vuelta rpida a checo prez
37,18729,eventualmente va a tronar el carro ya se ver que tanta dureza mental tiene verstappen al tiempo
38,18730,pap de verstappen mostr tremendo enfado en festejo de red bull con checo schecoperez f1 max33verstappen redbullracing
39,18731,jos y max verstappen son ms tontos que un bocado en la polla
40,18732,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton antonella vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de cupra de ternura o con cupra aston martin sampaoli
41,18733,max verstappen dio una ctedra de manejo super a todos los pilotos a pesar de haber salido en la posicin 15 por una falla mecnica solo un prodigioso piloto fue mejor por cinco segundos es un orgullo que ningn mexicano haba logrado despertar llevar tan alto
42,18734,que inmamables y poco profesionales estn saliendo los verstappen
43,18735,al igual que con verstappen y prez se llama ser competitivo que les dejen competir y veremos quin es mejor ganamos los aficionados
44,18736,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton antonella vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de cupra de ternura o con cupra aston martin sampaoli
45,18737,tpico de max red bull se refiri a vuelta rpida que verstappen le gan a checo
46,18738,un nuevo video demuestra que s hubo felicitacin de jos verstappen a sergio prez tras la victoria en arabia saud pero esto no dej contentos a todos
47,18739,adivinen que van a hacer la prensa y fandom de checho estas dos semanas de espera para el proximo gp no no van a celebrar la victoria del mexicano
48,18740,no hay ni ha habido nadie como fernando alonso en lectura de carrera y que lo haya va a ser muy pero que muy difcil esto es tan animal como el hammer time de hamilton o el ritmo de clasificacin que tiene verstappen uno de los elegidos
49,18741,la actitud de verstappen es de niato desobedecer las rdenes de equipo debera acarrear una sancin interna y un gran aviso ojala checo lo pueda domar y se vea una guerra a timba abierta en igualdad si el nuevo ceo lo permite
50,18742,ya se ve como verstappen con un coche bueno es mega dominante pero cmo este pibe todava no tuvo su oportunidad yo te compro que en ciertos sectores le falta madurar pero es un piloto tan completo que tranquilamente podra hacer lo mismo que verstappen imo el sera mejor
51,18743,la amelia como mam si sera
52,18744,20hs clasificando en vivo analizamos junto a guido croceri alelezcano totodriver a carlosdsaavedra todo el supertc2000 las tcpk la f1 sigue enojado verstappen porque gan checo que pas con alonso en vivo
53,18745,verstappen todos estn felices en el equipo yo no via dlasamericas
54,18746,el concepto
55,18747,yo creo y voy a seros franca con el tema charles y es que el monegasco yo le veo condenado a quedarse en ferrari no hay por ahora un equipo que pueda genuinamente con red bull y si se va a rb verstappen se lo coge en el sentido latam
56,18748,el plan alonso verstappen checo f1 jeddah saudiarabiangp elmagic
57,18749,alguien me va a tener que explicar de dnde inventaron esto la radio literalmente les dijeron free to push verstappen cuando pregunt por el tiempo de vuelta rpida su ingeniero se lo dijo y nunca le di ninguna indicacin de que no pudiera hacerla increble
58,18750,en lo personal schecoperez esta demostrando porque esta donde esta no es un regalo es esfuerzo horas de practica en el simulador etc etc felicidades para checo y la actitud del sr jos verstappen algo vergonsoza que perro asco de actitud hasta corage me dio
59,18751,saudiarabiangp 1 perez est en su mejor momento en f1 su manager lo tiene que asesorar muy bien alejarlo de cualquier controversia y hacerlo hablar en la pista no fuera 2 verstappen minimiz los daos de la quali no pudo con el ritmo de perez frustrado pero lder
60,18752,hoy si que estoy en desacuerdo verstappen ha ganado 36 carreras conoce muy bien cul es el protocolo y sabe perfectamente que los 3 primeros autos deben de mantenerse en pista y parar en los lugares asignados si eso lo hubiera hecho niconozco el podium hulkenberg se
61,18753,tambin hubo algo de polmica tras la victoria de checo prez en el saudiarabiangp jos verstappen padre de max se volvi viral en redes sociales debido al semblante serio que tuvo en medio de las celebraciones del piloto mexicano
62,18754,no se a ustedes pero a mi verstappen me da vibes de este wey
63,18755,comparan el max checo con el lewis nico verstappen est en un nivel inalcanzable para prez sorry por los mexicanos y haters de max
64,18756,max verstappen solito est cayendo con sus malas actitudes en el papel del patn odioso de la pelcula mientras que checo con sus cualidades y carisma es el muchacho bueno de la pelcula
65,18757,me gusta que quin est sacando a la luz el drama con la lucha verstappen prez es nico rosberg jajajaja te amo nico checo mtele nitro p
66,18758,ya ayer conocimos en su mejor faceta al pap de verstappen pero te presentamos a ellos
67,18759,buenas noches me voy a soar que max verstappen va a dejar a su novia por mi y vamos a tener 3 hijos un perro y dos gatos
68,18760,jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
69,18761,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton antonella vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de cupra de ternura o con cupra aston martin sampaoli
70,18762,me declaro enemiga de los verstappen y me vale culo que max est agradable a la vista pero esa mean girl energy que tienen me la vuela
71,18763,con toda la polmica respecto al record de vuelta de verstappen en la ltima me parece raro que haya existido una orden respecto a no atacar el record si que hubo una de no subir el ritmo para atacar la posicin lo ms lgico f1 saudiarabiangp
72,18764,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton antonellavettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de cupra de ternura o con cupra aston martin sampaoli
73,18765,verstappen pone mala cara pese a remontada en yeda
74,18766,lo nazi que es jos verstappen madre de jesucristo
75,18767,al expiloto y padre de mad max jos verstappen no le gust nada la victoria de sergio checo prez en el gran premio de arabia saudita de la frmula 1 the post cara de desprecio y palo en los medios la furia del pap de verstappen por triunfo de
76,18768,no soy el segundo verstappen max verstappen piloto de red bull explic su molestia tras el gp de arabia saudita el equipo est feliz pero yo personalmente no lo estoy porque no estoy aqu para ser el segundo verstappen redbull f1
77,18769,esta actuacin de checo prez le pone a red bull la condicin de que puede pelear por el campeonato verstappen no la tendr fcil contra el mexicano max en igualdad de condiciones ni lo pudo pasar ni lo alcanz fsradiomx
78,18770,mi descubridor de talentos particular quien me puso sobre la pista de de vries albon norris max verstappen y tantos otros antes que nadie antes de que los ejspertos reclamaran luego esos descubrimientos borjapdlr
79,18771,hay niveles checoprez verstappen
80,18772,jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
81,18773,que va a pasar si checo y verstappen siguen tan parejos fernando tornello no se si van a seguir yam parejos jajajaja me encanta ese seor
82,18774,verstappen hace el ridculo y demuestra miedo escnico a sergio prez va youtube chacho lml as o mas claro o solo los espaoles lo ven
83,18775,jos verstappen jams gan un gran premio
84,18776,checo prez logr un gran triunfo en arabia saudita verstappen complet el 1 2 de red bull y lidera el campeonato de la frmula 1
85,18777,puto genio
86,18778,helmut marko arremete contra verstappen por robo de vuelta rpida a checo tpico de max hay quien de rdenes y se acatan o cada quien hace lo que su gana le da
87,18779,felizlunes yoonsanha saudiarabiangp dainternacionaldelafelicidad chivas zcalo verstappen alonso jisoo concept poster
88,18780,jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
89,18781,felizlunes yoonsanha saudiarabiangp dainternacionaldelafelicidad chivas zcalo verstappen alonso jisoo concept poster
90,18782,los fanticos de checo festejan y quieren que este se meta en los con verstappen lo que no saben es que el nico que puede perder algo es el mismo perez verstappen es 100 la prioridad de rb jams van a preferir al mexicano
91,18783,felizlunes yoonsanha saudiarabiangp dainternacionaldelafelicidad chivas zcalo verstappen alonso jisoo concept poster
92,18784,pap verstappen cuando gana prez pap prez cuando gana verstappen
93,18785,estoy llorando como un lactante
94,18786,la virgencita nos har el milagro de que verstappen siempre qued en segundo tercer cuarto o ltimo lugar con un mexicano nadie se mete
95,18787,sexo en estado puro
96,18788,pole position liderar casi toda la carrera contuvo a verstappen quinta victoria en f1 fin de semana espectacular de checo prez en el saudiarabiangp
97,18789,el resentimiento a hamilton es increble red bull es igual de dominantes que en 2011 o 2013 por lo menos en mercedes haba lucha entre compaeros de equipo o verstappen haciendo sombra ac la diferencia es abismal psimo relator y encima un resentido
98,18790,va reforma jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
99,18791,va reforma jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
100,18792,va reforma jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
101,18793,va reforma jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
102,18794,va reforma jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
103,18795,aunque los verstappen hayan felicitado a checo la declaracin del papa verstappen de la victoria de prez no es muy amable que digamos sea seor su hijo ya tiene 2 world championships ya sintese
104,18796,checo prez el triunfo que no soport el padre de max verstappen somosunanimo
105,18797,te amo don guapo
106,18798,verstappen es el carajito malcriado al que su papi le deca que no y armaba el berrinche tengo cero dudas
107,18799,jos verstappen no creo que checo tenga la oportunidad de ganar tan a menudo seamos sinceros triquiuelas de red bull aparte y sin desmerecer a sergio prez max est a un nivel superior y por cierto jos s felicit a prez f1 saudiarabiangp
108,18800,jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
109,18801,verstappen que penilla me ests dando si no soy el centro de atencin me enfado y no respiro
110,18802,jos verstappen reconoci que el triunfo del mexicano sergio prez en el gp de arabia saudita se dio por falla en el blido de su hijo max f1 checoperez
111,18803,prez responde a horner me dieron informacin distinta a verstappen f1
112,18804,verstappen critica la avera del sbado en su red bull si el ttulo est entre nosotros hay que asegurarse de que los dos coches son fiables
113,18805,jos verstappen fue es y siempre ser un fracasado su nico logro es ser la sombra de su hijo
114,18806,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de cupra de ternura o con cupra shanks aston martin sampaoli
115,18807,nos olvidamos como jugar al futbol
116,18808,infografaimp prez gana en arabia saudita tras resistir carga de verstappen 19mar
117,18809,buscando una cosa sobre pap verstappen que un compi de equipo escribi para la revista que hacamos me he dado cuenta de lo chula que estaba nuestro magazine de f1 taba guay o no revista muy fan de la f1 n2 ahora en calameo calameo
118,18810,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de cupra de ternura o con cupra shanks aston martin sampaoli
119,18811,que mal esta jugando el bayern
120,18812,verstappen pone mala cara pese a remontada en yeda
121,18813,i mean le meta medio segundo por sesin arrastrando una enfermedad y despus le casco dos segundos en la ultima vuelta para hacer la vr
122,18814,jajajajajajaj ests en un concurso de fracasados pero tu oponente es jos verstappen
123,18815,padredeverstappen se moria del coraje el padre de verstappen
124,18816,checo no va a ganar en su vida un mundial hermano es de primero de primaria que se va a por la vuelta rpida en la ltima y que verstappen es un lobo y va a hacer todo y ms para ganar el mundial qu coo haces hermano
125,18817,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de cupra de ternura o con cupra shanks aston martin
126,18818,verstappen pone mala cara pese a remontada en yeda
127,18819,es imprescindible ser un maleducado como verstappen y su padre para ser campen del mundo
128,18820,verstappen pone mala cara pese a remontada en yeda
129,18821,qued demostrado que en igualdad de circunstancias sergio el checo prez es mejor piloto que max verstappen
130,18822,no es que verstappen sea un mal tipo la cosa es que compite con schecoperez como piloto y como persona y ah si est muy cabron ganarle a checo como pilotos otro es el tema
131,18823,el pap de verstappen la trae bien adentro pero adentro ya despstela seor y sintese alv
132,18824,el antiptico y antideportivo max verstappen tiene bien ganada la animadversin d todo mxico pero tiene las posibilidades reales d ganar el gp cdmx si eso llegara a suceder respetemos el himno d los pases bajos despus abuchemoslo en gran manera
133,18825,dazn formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de empanada de ternura o con ternura shanks aston martin
134,18826,tengo ganas de que checo gane a verstappen hasta que me acuerdo de que los mexicanos son as
135,18827,jos verstappen es el claro ejemplo de que el dinero y la fama no te convierten en un gran ser humano cada vez ms se sabe de la gran calidad de los deportistas mexicanos en comparacin a los de otras latitudes
136,18828,naomi formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de empanada de ternura o con ternura shanks aston martin
137,18829,paraco s vibes
138,18830,no se mucho de frmula 1 pero no necesito ser experto para entender que verstappen es un wey ogt y que el trabajo en equipo es una de las 7282929 cosas que ms v le valen no debera checo tener la misma postura ya se vi que si el otro puede no ayudarlo lo va a hacer
139,18831,verstappen es el amigo que solo te habla cuando a l le va mejor que a ti de esos hay muchos
140,18832,sinceramente verstappen me parece un grandisimo piloto me encanta pero no est haciendo las cosas bien y no se est comportando como un bicampeon del mundo sino como un aspirante
141,18833,dazn formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton vettel ferrari red bull steam mclaren league of legend otaku andaluca yo soy mas de empanada de ternura o con ternura shanks aston martin
142,18834,yo me quedo tranquio porque se vio en todo el fin de semana que max era el ms rapido
143,18835,el mexicano sergio checo prez y su compaero max verstappen dejaron claro que pelearn por el ttulo de frmula 1
144,18836,como sera un campeonato con hamilton y verstappen en red bull sin rdenes de equipo
145,18837,si no gana alonso el mundial prefiero que gane checo antes que el niato de verstappen
146,18838,le estoy cogiendo un ascazo a verstappen tremendo
147,18839,verstappen el mejor de clasificacin del mundial de frmula 1
148,18840,se sabe a que se debi el dnf de stroll
149,18841,que chingue a todo su perro pinche padre max verstappen y tambin el culero envidioso de jos verstappen de huevos y al chile f1
150,18842,libertad y orden
151,18843,la vida va como verstappen en formula 1 facts
152,18844,si verstappen tiene 100 haters yo soy uno de ellos si verstappen tiene 1 hater ese soy yo si verstappen no tiene haters es porque yo habr muerto
153,18845,controlar a max verstappen es casi misin imposible incluso para su propio equipo
154,18846,el pap de verstappen tiene miedo
155,18847,f1 formula1 el padre de max verstappen afirm que checo prez no est acostumbrado a ganar en la frmula 1 por eso aprovech este golpe de suerte en arabia saudita
156,18848,yolanda daz presentndose a las generales esquivando a podemos macron intentando pasar de puntillas de las mociones de cesura doble ibai y luzu ejerciendo de bilbanos el marido de ana rosa quintana despus del pelotazo de el palmar o jos verstappen en semana santa
157,18849,quien mierda quien mierda me respondio en candado
158,18850,datos detallados del ritmo de carrera mostrado por los pilotos en el gp de arabia saud 93 48 prez 0 37 verstappen 0 56 alonso 0 80 russell 1 05 sainz 1 16 hamilton 1 21 leclerc 1 58 ocon 1 63 gasly va f1dataanalysis
159,18851,considero que el problema no es verstappen sino su pap y el que diga que no es un mentiroso
160,18852,as estn los campeonatos de la f1 despus del saudiarabiagp verstappen y red bull encabezan ambas listas
161,18853,verstappen no estoy aqu para ser segundo max no ests aqu para que te lo regalen y vales mucho como para andar con ese tipo de frases
162,18854,no creo que redbullracing quiera que sea relacionado mundialmente con el antideportivismo la antipata y la nula empata q representan los verstappen que harn
163,18855,video as fue como verstappen le inform a checo prez que le haba arrebatado la vuelta rpida en yeda f1 f12023
164,18856,tqm checo prez verstappen es un pendejo
165,18857,esta cuenta es una jos verstappen hater a mucho honor
166,18858,verstappen y su pap
167,18859,max verstappen chingas a tu madre
168,18860,no saba que los fans de checo prez eran tan txicos como los de hamilton y verstappen
169,18861,verstappen impotente ante sergio prez miente y por un punto se descubre va youtube chacho lml velo y dime si miente apoya ms a checo en tus transmisiones este es el ao de checo vamos puras mentiras kieren hacer creer que tenia problemas max
170,18862,tengo muchsimo respeto a verstappen pero ahora toca apoyar a muerte a este hombre para que as azuce el avispero y que fernando aproveche todas las oportunidades que pueda a ro revuelto
171,18863,f1 schecoperez vuelve a recibir un insulto del pap de max verstappen quien hace menos al piloto mexicano
172,18864,lo aman la prensa de arabia saudita aplaudi la actuacin del mexicano sergio prez destacando que derrot y pudo mantener a raya a su compaero max verstappen checoperez f1 saudiarabiangp
173,18865,jos verstappen el nico con cara de pocos amigos en la celebracin de checo prez con red bull video
174,18866,comienza la guerra en red bull max verstappen no acepta estar por detrs de checo prez
175,18867,no estoy aqu para terminar segundo max verstappen tras el gp de arabi saudita
176,18868,prez si quiere aspirar a pelear siempre por victorias y el ttulo deber tener ms malicia claro que obedece rdenes de equipo algo donde tiene privilegio verstappen pero el ejemplo claro lo tiene de rosberg en 2016 nico arriesg gan el campeonato y se retir a lo grande
177,18869,verstappen impotente ante sergio prez miente y por un punto se descubre va youtube
178,18870,ay que pesado es verstappen con ganar el padre de tappen como no gane o haga un esfuerzo bblico
179,18871,el pap de verstappen no soport
180,18872,el pap de checo se hace el simptico para dps subir en su insta y hacer campaa poltica con la cara de verstappen pekay
181,18873,lo juzgamos mal pap de verstappen s felicit a checo prez le dio la mano
182,18874,si este ao va a ser un 2016 2 0 lo mnimo que espero es esto por parte de max y checo quiero sangre quiero que se odien quiero que luchen hasta abu dhabi y que al final gane el mejor piloto f1 saudiarabiangp redbullracing verstappen checoprez
183,18875,checo prez y verstappen se lanzan duros mensajes tras gp de arabia saudita
184,18876,intentan vendernos que checo perez est al nivel de verstappen que tan difcil es entender que no no lo est ni checo ni hamilton ni ninguno del resto excepto alonso alonso est entre el escaln que hay entre max y el resto
185,18877,por cosas como estas me est siendo muy difcil no cogerle asco a verstappen que quiere que le hagan la alfombra roja parece mentira que un bicampen de f1 vaya con pataletas de nio pequeo como estas
186,18878,jos verstappen sabiendo en el mundo en el que vive rodeado de cmaras que muestran todo y el tipo tiene esa cara de orto porque max no gan 13 posiciones remont lo banco a checo que no lo salud saudiarabiangp f1 redbull
187,18879,espera que est checo llorando porque verstappen fue a por la vuelta rpida y l no pos ok
188,18880,checo y verstappen peleandose por el liderato del mundial cuando todo el mundo sabe que este mundial lo gana el nano
189,18881,fernando alonso es dios dice que cree que verstappen llegar en la vuelta 25 a la segunda posicin se lo dicen a verstappen y este comenta que espera llegar antes vuelta 25 y verstappen se pone 2 simplemente nanobrujera
190,18882,duras palabras de jos verstappen tras la victoria de prez en arabia saudita
191,18883,las sospechas y teoras sobre una ruptura en la relacin entre checo y verstappen son cada vez ms fuertes
192,18884,verstappen es el alumno que lloraba por que sacaba 98 y no 100
193,18885,tal cual ese verstappen es una diva un nio caprichoso igual que su pap venga checoprez demuestra tu grandeza dentro y fuera de la pista f1
194,18886,el lo de la fia con la sancin a fernando alonso tras la carrera en arabia saud tuvo a dos pilotos celebrando el podio el asturiano se subi junto a verstappen y prez pero el trofeo terminara en manos de george russell despus de que los 10 segundos
195,18887,christian horner defendi a max verstappen el director de red bull afirm que checo prez ya no intent quedarse con la vuelta ms rpida
196,18888,verstappen lder del ranking de pilotos en redes alonso sexto
197,18889,comienza la guerra en red bull max verstappen no acepta estar por detrs de checo prez f1 spanishgp formula1 el espaol
198,18890,no te dijeron checo prez no tuvo filtro y cuestion a max verstappen cara a cara
199,18891,datos detallados del ritmo de carrera mostrado por los pilotos en el gp de arabia saud este fue el ritmo de los cinco equipos notablemente ms rpidos en 2023 93 48 prez 0 37 verstappen 0 56 alonso 0 80 russell 1 05 sainz 1 16 hamilton
200,18892,mis top pilotos a da de hoy alonso clarsimamente despus verstappen poquito por delante de russell stroll aqu me aparece norris leclerc no lo s en que orden yo pongo por delante a sainz y a partir de aqu piastri yuki
201,18893,maxverstappen f1 ofuscado as respondi el bicampen mundial max verstappen quien no termin contento con la segunda posicin que logr en el gran premio de arabia saudita la prxima carrera se disputar el domingo 2 de abril en el gp de australia checoperez f1
202,18894,deportes checo prez y verstappen se lanzan duros mensajes tras gp de arabia saudita
203,18895,en tanto el monegasco charles leclerc y el neerlands verstappen de ferrari y red bull respectivamente iban escalando posicin tras su inicio el zona baja de la parrilla
204,18896,los redbullracing max verstappen y checo prez peleando en pista
205,18897,hay fotos y videos donde muestran a checo y verstappen hablando este ltimo felicitando a checo tambin est la foto donde verstappen no se estacion donde debi estar su monoplaza es buena persona pero tiene un carcter muy difcil
206,18898,checoprez gana primer lugar en gran premio de arabia saudita de frmula 1 el mexicano tuvo gran carrera de inicio a fin pero max verstappen ascendi 14 puestos para ganar
207,18899,siempre m caste mal verstappen
208,18900,ejemplo de ser humano y de humildad checo buscaste saludar al pap de verstappen
209,18901,la cara del pap de verstappen lo dice todo venga schecoperez de reversa no le damos
210,18902,que chingue a su madre max verstappen y su pap
211,18903,comienza la desventura para schecoperez el entorno de max se lo va a poner todo muy muy difcil va horner y marko checo ha demostrado que puede pelear el campeonato y eso ha encendido todas las alarmas en casa de los verstappen f1 saudiarabiangp
212,18904,verstappen es el tpico escuincle berrinchudo alentado por un pap que le dice que el segundo lugar es el primer perdedor es muy competitivo y talentoso pero odioso y no respeta la autoridad jams har equipo hasta su esposa ser su competencia bien checo
213,18905,claro que no hay desobediencia pero al tener ese tema en la mesa dos carreras consecutivas es un hecho que es ms fcil decirlo victimizar y esperar a que las redes hagan su trabajo aunque no lo quieran aceptar hay una campaa de odio muy fuerte hacia los verstappen
214,18906,verstappen pone mala cara pese a remontada en yeda
215,18907,no es nuevo que jos verstappen sea un gilipollas absoluto
216,18908,lo deca nanosecso llegamos a imola minimizando daos con verstappen y prez el redbull es tremendamente rpido pero alonso es capaz de hacer lo imposible un 2012 max es muy rpido pero prez parece que no est tan lejos se pueden repartir victorias y tener algun lo soad
217,18909,fernando le dijo a sky que verstappen se pondra 2 por la vuelta 25 adivinad en qu vuelta se puso 2
218,18910,luego de la victoria de checo prez en el gran premio de arabia saudita max verstappen lanz un dardo y una advertencia para el piloto mexicano no estoy aqu para ser segundo
219,18911,el baile de sanciones con fernando alonso el cabreo de leclerc con ferrari la ignorancia de verstappen las carreras en jeddah siempre traen historias y victorabadf1 te va a desvelar todo lo que no has visto preparado para un nuevo cdigo f1 pues corre ya a dazn
220,18912,antes de que empezase el saudiarabiangp fernando alonso alo oficial dijo que max33verstappen lo adelantara en la vuelta 25 verstappen en el previo dijo que intentara hacerlo mejor lo adelant en la vuelta 25 ms sabe el diablo por viejo
221,18913,nio malcriado as describi david faitelson a max verstappen luego de lo ocurrido en jeddah
222,18914,ni topaba que el pap de max verstappen corri en la f1
223,18915,lo nico que entiendo de la f1 es que verstappen merece un putazo
224,18916,no les basta con quejarse del sipisapo verstappen ahora tambin tienen que quejarse del pap que vio feo al pobrecito checo qu hueva
225,18917,papi verstappen le hace el feo a schecoperez pero l fue un mega looser en f1 en 107 carreras consigui 17 puntos en total y dos podios no se extraen de la actitud berrinchuda del nene max33verstappen
226,18918,jos verstappen cuando checo prez same energy
227,18919,dazn formula1 fernando alonso leclerc carlos sainz jr max verstappen checo perez hamilton vettel ferrari red bull steam mclaren league of legends grefg otaku andaluca yo soy mas de empanada de ternura o con ternura tuchel aston martin
228,18920,verstappen inconforme por que checo le est haciendo sombra despus de que el mexicano sergio prez se llevar el gran premio de arabia saudita max verstappen indic que no est contento por que su compaero gan y el qued en la segunda posicin
229,18921,abrimos debate checo prez podr pelear el campeonato ante max verstappen los leemos
230,18922,verstappen pone mala cara pese a remontada en yeda
231,18923,no estoy aqu para terminar segundo max verstappen tras el gp de arabia saudita
232,18924,necesito ver un duelo igualado entre verstappen y alonso bof sera mgico
233,18925,jos verstappen se le fue con todo a checo prez
