,Id,Tweet
0,4115,vamooooos chingonaaaaaas esporchivas
1,4116,adis al labioso rafaelpuente de pumasmx quin le dijo que es entrenador profesional es un perdedor mal en chivas mal en pumas buena decisin de universidad
2,4117,perdi chivas perdi tigres pero lo nico bueno fue que nevo y gano barc
3,4118,en 11 das al fin se me har ver a mis chivas f en el akron
4,4119,mal fin de semana para irle a chivas y al real madrid
5,4120,mis chivas femenil andan jugando solo les falta concretar vamos que se puede
6,4121,ese pinche comercial en chivas tv donde sale el carpintero haciendo al jugador est ms chafa que los de la cadena multimedios se pasan de brga
7,4122,chivas acumula mucha gente en ataque y rayadas no ha podido desarrollar con comodidad su ftbol aunque cada llegada es peligrosa y ya clavaron dos es necesaria ms tranquilidad frente a puerta queda a deber caro el resto del ataque con cosas interesantes partido complicado
8,4123,ptm que horrible fin de semana
9,4124,estan jugando muy bien ahora que se refleje en el marcador dale chingonas sin bajar los brazos
10,4125,me encanta como los de fox siempre buscan con lupa lo que le tienen que marcar en contra a chivas
11,4126,y cmo sigui la carrilla pochoguzmano6 pochoguzman5 porque estabas t y tus shtvas chivas mame y mame y mame y mame as que soporten quedaron solo como porque los del clubamerica les aplic la del churrero con 4 j4j4j4j4 nimo hocicones
12,4127,mi sueo es ver a mario castaeda diciendo arriba las chivas usando su voz de goku
13,4128,que pedo a chivas si le marcan faltitas empujoncitos y cualquier jalada a favor ese penalote a ellas hasta se lo marcan dos veces no mms que pedo y el gol esta bien dudoso pero ni as van a poder
14,4129,amrica le pasa por encima a las chivas en guadalajara
15,4130,ayer chivas y hoy el real madrid que mal estoy pagando
16,4131,descont chivas las rojinegras se hicieron presente en el marcador con gol de damaris godnez de cabeza ligabbvafemenil
17,4132,era penalote y la comentarista dice que no le parece as foxsports nada imparcial en sus comentarios casi no se nota el favoritismo por las chivas femenil foxdeportes
